SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540497,SCHAND      ,B ,Q,432.40,437.00,429.00,433.60,433.60,433.70,104,2861,1238589.00,
540519,MEERA       ,M ,Q,230.00,240.00,229.95,230.65,232.00,232.20,15,15000,3476500.00,
540526,IRBINVIT    ,IF,Q,83.00,83.50,83.00,83.10,83.10,83.24,10,50000,4163250.00,
540530,HUDCO       ,B ,Q,72.20,72.80,70.30,71.70,71.70,72.20,1244,226025,16131762.00,XD
540544,PSPPROJECT  ,B ,Q,478.90,479.90,453.00,468.80,468.80,473.65,161,36815,17178643.00,
540550,YUG         ,M ,Q,28.55,28.55,28.55,28.55,28.55,30.45,1,4000,114200.00,
540565,INDIGRID    ,IF,Q,94.00,94.00,93.51,93.90,93.90,94.59,5,30618,2870998.00,
540575,STARCEMENT  ,B ,Q,120.70,123.55,117.20,122.50,123.15,118.90,70,3941,473368.00,
540590,RIDDHICORP  ,M ,Q,130.00,130.00,130.00,130.00,130.00,115.55,1,1000,130000.00,
540593,HEOF1126RG  ,B ,Q,9.28,9.32,9.28,9.31,9.31,9.30,8,7185,66921.00,
540594,HEOF1126RD  ,B ,Q,9.00,9.00,9.00,9.00,9.00,9.50,1,290,2610.00,
540595,TEJASNET    ,B ,Q,314.70,348.00,312.25,333.70,333.70,309.80,1946,42975,14383834.00,
540596,ERIS        ,B ,Q,797.45,810.25,793.50,796.90,796.90,792.40,167,1080,864354.00,
540602,GTPL        ,B ,Q,155.50,155.50,151.20,151.75,151.20,153.95,24,333,50960.00,
540611,AUBANK      ,B ,Q,580.20,585.20,572.80,583.70,585.20,573.15,245,4986,2891909.00,
540615,7NR         ,M ,Q,27.30,27.30,27.25,27.25,27.25,28.25,2,8000,218200.00,
540616,ARTEMIS     ,B ,Q,99.25,103.95,99.25,100.00,100.00,99.20,5,1540,154972.00,
540621,BHAGYAPROP  ,B ,Q,20.95,20.95,20.95,20.95,20.95,21.00,1,10,209.00,
540642,SALASAR     ,B ,Q,330.00,348.00,311.00,345.65,347.50,326.05,834,21325,7106355.00,
